t,x1,x2,x3
1.0500000000,-8.7638724699,-7.3949756358,29.0337394098
1.0600000000,-8.6258800826,-7.2377086547,28.8973499770
1.0700000000,-8.4867866782,-7.0957783244,28.7419023019
1.0800000000,-8.3482047752,-6.9701353282,28.5696028975
1.0900000000,-8.2116703376,-6.8614533874,28.3827099449
1.1000000000,-8.0786248582,-6.7701539202,28.1834939306
1.1100000000,-7.9504016930,-6.6964344896,27.9742052505
1.1200000000,-7.8282165088,-6.6402991505,27.7570487523
1.1300000000,-7.7131615514,-6.6015890407,27.5341648418
1.1400000000,-7.6062033265,-6.5800118478,27.3076165326
1.1500000000,-7.5081832057,-6.5751690806,27.0793816654
1.1600000000,-7.4198204318,-6.5865803713,26.8513494412
1.1700000000,-7.3417169855,-6.6137042950,26.6253204038
1.1800000000,-7.2743637895,-6.6559554281,26.4030090322
1.1900000000,-7.2181477596,-6.7127175548,26.1860481712
1.2000000000,-7.1733592566,-6.7833530781,25.9759945984
1.2100000000,-7.1401995477,-6.8672088050,25.7743351181
1.2200000000,-7.1187879430,-6.9636183518,25.5824926437
1.2300000000,-7.1091683298,-7.0719014672,25.4018318103
1.2400000000,-7.1113148849,-7.1913606051,25.2336637168
1.2500000000,-7.1251367986,-7.3212750978,25.0792494476
1.2600000000,-7.1504818929,-7.4608932938,24.9398020630
1.2700000000,-7.1871390640,-7.6094230368,24.8164867771
1.2800000000,-7.2348395219,-7.7660208786,24.7104190631
1.2900000000,-7.2932568410,-7.9297804399,24.6226604484
1.3000000000,-7.3620058748,-8.0997203637,24.5542117825
1.3100000000,-7.4406406272,-8.2747723509,24.5060037872
1.3200000000,-7.5286512136,-8.4537698141,24.4788847405
1.3300000000,-7.6254600850,-8.6354377519,24.4736051989
1.3400000000,-7.7304177341,-8.8183845067,24.4907997420
1.3500000000,-7.8427981453,-9.0010961366,24.5309658267
1.3600000000,-7.9617943009,-9.1819341882,24.5944399737
1.3700000000,-8.0865141004,-9.3591376982,24.6813716783
1.3800000000,-8.2159770972,-9.5308302575,24.7916956338
1.3900000000,-8.3491124959,-9.6950329436,24.9251030912
1.4000000000,-8.4847588838,-9.8496838323,25.0810134220
1.4100000000,-8.6216661863,-9.9926646378,25.2585472149
1.4200000000,-8.7585003299,-10.1218347863,25.4565024750
1.4300000000,-8.8938510634,-10.2350728926,25.6733357055
1.4400000000,-9.0262433237,-10.3303251842,25.9071497857
1.4500000000,-9.1541524283,-10.4056599178,26.1556905973
1.4600000000,-9.2760232303,-10.4593262763,26.4163542479
1.4700000000,-9.3902931911,-10.4898156627,26.6862064779
1.4800000000,-9.4954191017,-10.4959227697,26.9620153931
1.4900000000,-9.5899069390,-10.4768033578,27.2402980347
1.5000000000,-9.6723440855,-10.4320253947,27.5173805121
1.5100000000,-9.7414328894,-10.3616101433,27.7894705146
1.5200000000,-9.7960243240,-10.2660599969,28.0527400641
1.5300000000,-9.8351503400,-10.1463703636,28.3034154546
1.5400000000,-9.8580534167,-10.0040236944,28.5378705507
1.5500000000,-9.8642118303,-9.8409647863,28.7527190749
1.5600000000,-9.8533592691,-9.6595576940,28.9449012981
1.5700000000,-9.8254976521,-9.4625258381,29.1117606905
